accession,model,phage,metadata,host,taxonomic_level,host_reasoning,host_confidence,host_source,host_found,thermal_range,temperature,thermal_reasoning,thermal_confidence,thermal_found,summary_file,paper_dir,paper_dir_size,relevant_accession_papers,relevant_accession_dir_size,host_paper_dir,host_paper_dir_size,relevant_host_papers,relevant_host_dir_size,duration,decision,nodes,timings,JSONDecodeError
ADI87650,gemma4:e4b,Tequatrovirus T4,"{""uid"": ""298571302"", ""accession"": ""ADI87650"", ""title"": ""major head protein, partial [Tequatrovirus T4]"", ""organism"": ""Tequatrovirus T4"", ""taxonId"": 10665, ""sequence_length"": 141, ""create_date"": ""2010/06/23"", ""update_date"": ""2016/07/25"", ""dbsource"": ""insd"", ""extra"": ""gi|298571302|gb|ADI87650.1|"", ""host"": ""Enterobacteriales"", ""old_name"": ""Escherichia virus T4"", ""map"": ""between gp22 and SegD"", ""clone"": ""s10-10"", ""country"": ""China: Donghu Lake, Wuhan""}",Enterobacteriales,family,The metadata explicitly states 'host': 'Enterobacteriales'.,,metadata,True,mesophile,,"The summary for PMC13142089.1.txt explicitly states: ""The phage demonstrated stability at 40°C... This suggests a mesophilic nature with limited high-temperature tolerance."" Although the first paper shows better preservation at 4°C (suggesting psychrophilic tendencies for storage), the second paper provides the most direct inference regarding growth/stability, pointing towards mesophily based on the 28°C incubation and 40°C stability. The other two papers lack temperature data entirely.

Comparing the evidence: 
1. Paper 42096524.txt: Shows better preservation at 4°C (cold tolerance) but no growth optimum.
2. PMC13142089.1.txt: Suggests mesophilic nature based on stability at 40°C and incubation at 28°C.
3. PMC12883358.1.txt: No data.
4. PMC13126132.1.txt: No data.

Since the most detailed and conclusive inference regarding thermal adaptation points to mesophily (PMC13142089.1.txt), this is the majority conclusion.",,True,data/accessions/ADI87650/summary/summary.txt,data/accessions/ADI87650/library/accession_lit,6,"['42096524.txt', 'PMC13142089.1.txt']",0,data/accessions/ADI87650/library/host_lit,5,"['PMC12883358.1.txt', 'PMC13126132.1.txt']",2,344.58000000000004,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 17.49, ""ClassifyHostMetadata"": 1.98, ""FilterRelevantLiterature"": 70.42, ""FilterRelevantHostLiterature"": 130.55, ""ClassifySummary"": 7.47}",False
WXH46553,gemma4:e4b,Teseptimavirus T7,"{""uid"": ""2701066911"", ""accession"": ""WXH46553"", ""title"": ""terminase large subunit [Teseptimavirus T7]"", ""organism"": ""Teseptimavirus T7"", ""taxonId"": 1985738, ""sequence_length"": 586, ""create_date"": ""2024/03/25"", ""update_date"": ""2024/03/25"", ""dbsource"": ""insd"", ""extra"": ""gi|2701066911|gb|WXH46553.1|"", ""host"": ""Escherichia coli B"", ""clone"": ""recombinant T7_mCg1o"", ""country"": ""USA"", ""collection_date"": ""01-Jan-2024""}",Escherichia coli B,species,The metadata explicitly states 'host': 'Escherichia coli B'.,,metadata,True,mesophile,,"The summary for PMC12785254.1.txt explicitly states that the phage 'exhibits optimal growth and stability at 37 °C' and that 'its physiological characteristics align with a mesophilic organism, as indicated by its optimal growth temperature.' Although other papers mention temperatures (e.g., 32 ± 2 °C in 42082597.txt, or 37 °C incubation in PMC13139609.1.txt), only the PMC12785254.1.txt summary provides a direct classification based on optimal growth temperature (37 °C) and explicitly labels the organism/phage as mesophilic.",,True,data/accessions/WXH46553/summary/summary.txt,data/accessions/WXH46553/library/accession_lit,6,"['PMC12799730.1.txt', 'PMC12785254.1.txt']",0,data/accessions/WXH46553/library/host_lit,10,"['42090927.txt', 'PMC13139609.1.txt', '42082597.txt']",3,409.43,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 9.47, ""ClassifyHostMetadata"": 2.02, ""FilterRelevantLiterature"": 216.3, ""FilterRelevantHostLiterature"": 46.7, ""ClassifySummary"": 5.63}",False
WRQ14408,gemma4:e4b,Escherichia phage Lambda,"{""uid"": ""2647417185"", ""accession"": ""WRQ14408"", ""title"": ""endolysin [Escherichia phage Lambda]"", ""organism"": ""Escherichia phage Lambda"", ""taxonId"": 2681611, ""sequence_length"": 158, ""create_date"": ""2024/01/16"", ""update_date"": ""2024/01/16"", ""dbsource"": ""insd"", ""extra"": ""gi|2647417185|gb|WRQ14408.1|"", ""isolate"": ""P9/2022/SA"", ""host"": ""Escherichia sp."", ""country"": ""South Africa"", ""isolation_source"": ""Cloacal swabs from Gallus gallus domesticus"", ""collection_date"": ""06-Dec-2022""}",Escherichia sp.,species,The metadata explicitly contains the key 'host' with the value 'Escherichia sp.'.,,metadata,True,mesophile,,"The summary states that the optimal growth temperature for the system using *E. coli* cells was 30°C. Organisms with optimal growth temperatures around 20°C to 45°C are generally classified as mesophiles. While the paper does not explicitly state the classification, the optimal temperature of 30°C strongly suggests a mesophilic nature, as this falls squarely within the typical mesophilic range. The summary explicitly notes that 'No information regarding the organism's natural environmental source, extreme adaptation, or specific thermal classification (e.g., mesophilic, thermophilic) was provided in the text,' but the temperature data points to mesophily.",,True,data/accessions/WRQ14408/summary/summary.txt,data/accessions/WRQ14408/library/accession_lit,5,[],0,data/accessions/WRQ14408/library/host_lit,6,['PMC13142098.1.txt'],1,230.99,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 21.5, ""ClassifyHostMetadata"": 2.12, ""FilterRelevantLiterature"": 111.36, ""FilterRelevantHostLiterature"": 43.79, ""ClassifySummary"": 3.95}",False
XYW65533,gemma4:e4b,Escherichia phage T2,"{""uid"": ""3042835930"", ""accession"": ""XYW65533"", ""title"": ""DNA helicase [Escherichia phage T2]"", ""organism"": ""Escherichia phage T2"", ""taxonId"": 2060721, ""sequence_length"": 503, ""create_date"": ""2025/08/18"", ""update_date"": ""2025/08/18"", ""dbsource"": ""insd"", ""extra"": ""gi|3042835930|gb|XYW65533.1|"", ""host"": ""Escherichia coli K-12 BW25113"", ""note"": ""ymfE mutant"", ""country"": ""USA"", ""collection_date"": ""Jun-2025""}",Escherichia coli K-12 BW25113,strain,The metadata explicitly states the host in the 'host' field as 'Escherichia coli K-12 BW25113'.,,metadata,True,mesophile,,"Three out of the four papers (PMC11043490.1.txt, PMC12849093.1.txt, and PMC12671086.1.txt) show an optimal or primary incubation temperature of 37°C. An optimal growth temperature of 37°C is the classic indicator for a mesophile. Paper 42096524.txt shows cold tolerance data (better preservation at 4°C vs room temp) but does not establish an optimal growth temperature, while the other three papers strongly point to 37°C as the standard culture condition.",,True,data/accessions/XYW65533/summary/summary.txt,data/accessions/XYW65533/library/accession_lit,5,['42096524.txt'],0,data/accessions/XYW65533/library/host_lit,5,"['PMC11043490.1.txt', 'PMC12849093.1.txt', 'PMC12671086.1.txt']",3,355.45,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 16.29, ""ClassifyHostMetadata"": 2.42, ""FilterRelevantLiterature"": 41.71, ""FilterRelevantHostLiterature"": 158.64, ""ClassifySummary"": 5.21}",False
SNQ28030,gemma4:e4b,Emesvirus zinderi,"{""uid"": ""1229202884"", ""accession"": ""SNQ28030"", ""title"": ""RNA replicase, beta subunit [Emesvirus zinderi]"", ""organism"": ""Emesvirus zinderi"", ""taxonId"": 329852, ""sequence_length"": 545, ""create_date"": ""2017/08/08"", ""update_date"": ""2018/06/15"", ""dbsource"": ""insd"", ""extra"": ""gi|1229202884|emb|SNQ28030.1|"", ""isolate"": ""EnteroPH/GER/L00928-K20_14-03/2014"", ""old_name"": ""Escherichia virus MS2"", ""note"": ""monopartite""}",E. coli,species,"The text explicitly states: ""The RNA bacteriophage MS2 is an RNA phage that infects the bacterium E. coli..."" and later in the Methods section: ""The bacteria host E. coli DSM 5695 (also called E. coli W1485) (F+) and MS2 bacteriophages DSM 13,767 were obtained from the DSMZ-German Collection of Microorganisms and Cell Culture."" Furthermore, the results section refers to ""E. coli host"" and ""DSM5695 E. coli cells"".",,literature,True,mesophile,,"The most informative paper regarding temperature stability is PMC13144091.1.txt, which states that the phages 'exhibited optimal stability across a temperature range of 4°C to 37°C' and maintained viability at 4°C, 25°C, and 37°C. The stability profile (optimal range encompassing typical human body temperature and refrigeration temperatures) is characteristic of mesophiles. Furthermore, Paper 41902306.txt also notes survival at 37°C and 25°C. Since the optimal and tested ranges cluster around moderate temperatures (4°C to 37°C) and lack evidence for extreme heat or cold adaptation, the classification leans towards mesophile.",,True,data/accessions/SNQ28030/summary/summary.txt,data/accessions/SNQ28030/library/accession_lit,6,['41902306.txt'],0,data/accessions/SNQ28030/library/host_lit,15,"['PMC13143981.1.txt', '42104428.txt', 'PMC13143937.1.txt', 'PMC13144091.1.txt']",4,411.55000000000007,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""ClassifyHostLiterature"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 19.21, ""ClassifyHostMetadata"": 3.34, ""ClassifyHostLiterature"": 36.12, ""FilterRelevantLiterature"": 108.88, ""FilterRelevantHostLiterature"": 142.78, ""ClassifySummary"": 5.73}",False
NP_049775,gemma4:e4b,Escherichia phage T4,"{""uid"": ""9632590"", ""accession"": ""NP_049775"", ""title"": ""terminase small subunit [Escherichia phage T4]"", ""organism"": ""Escherichia phage T4"", ""taxonId"": 2681598, ""sequence_length"": 164, ""create_date"": ""1999/07/05"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9632590|ref|NP_049775.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Bacteriophage T4""}",Escherichia coli,species,The metadata explicitly states 'host': 'Escherichia coli'.,,metadata,True,mesophile,,forced,,True,data/accessions/NP_049775/summary/summary.txt,data/accessions/NP_049775/library/accession_lit,2,[],0,data/accessions/NP_049775/library/host_lit,10,['42104428.txt'],1,66.3,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary"", ""ClassifyThermalForced""]","{""CreateAccessionLibrary"": 17.5, ""ClassifyHostMetadata"": 1.95, ""FilterRelevantLiterature"": 4.46, ""FilterRelevantHostLiterature"": 21.22, ""ClassifySummary"": 2.91, ""ClassifyThermalForced"": 5.11}",False
NP_049787,gemma4:e4b,Escherichia phage T4,"{""uid"": ""9632597"", ""accession"": ""NP_049787"", ""title"": ""major head protein [Escherichia phage T4]"", ""organism"": ""Escherichia phage T4"", ""taxonId"": 2681598, ""sequence_length"": 521, ""create_date"": ""1999/07/05"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9632597|ref|NP_049787.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Bacteriophage T4""}",Escherichia coli,species,The metadata explicitly states 'host': 'Escherichia coli'.,,metadata,True,mesophile,,forced,,True,data/accessions/NP_049787/summary/summary.txt,data/accessions/NP_049787/library/accession_lit,1,[],0,data/accessions/NP_049787/library/host_lit,10,['42104428.txt'],1,53.42,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary"", ""ClassifyThermalForced""]","{""CreateAccessionLibrary"": 9.15, ""ClassifyHostMetadata"": 1.94, ""FilterRelevantLiterature"": 1.57, ""FilterRelevantHostLiterature"": 21.22, ""ClassifySummary"": 2.89, ""ClassifyThermalForced"": 3.85}",False
YP_001956829,gemma4:e4b,Pseudomonas phage 201phi2-1,"{""uid"": ""189490263"", ""accession"": ""YP_001956829"", ""title"": ""nuclear shell protein [Pseudomonas phage 201phi2-1]"", ""organism"": ""Pseudomonas phage 201phi2-1"", ""taxonId"": 198110, ""sequence_length"": 631, ""create_date"": ""2008/06/06"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|189490263|ref|YP_001956829.1|"", ""host"": ""Pseudomonas chlororaphis"", ""old_name"": ""Pseudomonas chlororaphis phage 201phi2-1""}",Pseudomonas chlororaphis,species,The metadata explicitly states 'host': 'Pseudomonas chlororaphis'.,,metadata,True,mesophile,,"The evidence points towards mesophilic conditions based on the reported incubation and optimal growth temperatures. 
1. Paper PMC13027295.1.txt specifies an 'Optimal growth temperature: 30 °C' and 'Incubation conditions: 30 °C'. 30°C is a classic mesophilic temperature.
2. Paper PMC13151666.1.txt mentions 'Incubation at room temperature (RT) was used for initial growth (48 hours)' and 'subsequent growth was tested at RT for 72 hours'. Room temperature (typically 20-25°C) falls within the mesophilic range.
3. Paper PMC13106765.1.txt utilized 'isothermal microcalorimetry (IMC) assays were performed at a thermal equilibrium of 25°C'. 25°C is also within the mesophilic range.

While no single paper explicitly states 'mesophile,' the consistent use of 25°C, 30°C, and RT (20-25°C) for growth and metabolic assays strongly suggests that the organisms studied are adapted to moderate, mesophilic temperatures, rather than the low temperatures of psychrophiles or the high temperatures of thermophiles.",,True,data/accessions/YP_001956829/summary/summary.txt,data/accessions/YP_001956829/library/accession_lit,1,[],0,data/accessions/YP_001956829/library/host_lit,6,"['PMC13151666.1.txt', 'PMC13027295.1.txt', 'PMC13106765.1.txt', 'PMC13118963.1.txt']",4,304.43,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 18.43, ""ClassifyHostMetadata"": 2.08, ""FilterRelevantLiterature"": 2.07, ""FilterRelevantHostLiterature"": 127.94, ""ClassifySummary"": 7.19}",False
AAC18470,gemma4:e4b,Mycobacterium phage D29,"{""uid"": ""3172277"", ""accession"": ""AAC18470"", ""title"": ""hypothetical protein PBI_D29_29 [Mycobacterium phage D29]"", ""organism"": ""Mycobacterium phage D29"", ""taxonId"": 2905674, ""sequence_length"": 147, ""create_date"": ""1998/06/02"", ""update_date"": ""2023/08/29"", ""dbsource"": ""insd"", ""extra"": ""gi|3172277|gb|AAC18470.1|"", ""old_name"": ""Mycobacteriophage D29"", ""lab_host"": ""Mycobacterium smegmatis mc2 155"", ""country"": ""USA: Los Angeles, California"", ""lat_lon"": ""34.073135 N 118.442406 W"", ""collected_by"": ""S. Froman"", ""identified_by"": ""S. Froman""}",Mycobacterium smegmatis mc2 155,strain,"The metadata contains the key 'lab_host' with the value 'Mycobacterium smegmatis mc2 155', which explicitly states the host organism.",,metadata,True,mesophile,,"Both papers point towards mesophilic adaptation. Paper 1 notes the association with *Mycobacterium* species, which are generally associated with host physiological temperatures ($37^	ext{o}	ext{C}$), leading to the conclusion that the organism points towards ""mesophilic or facultative adaptation to host environments."" Paper 2 explicitly states that the ""general growth conditions utilized were consistent with mesophilic organisms,"" and the optimal growth temperature was $37^	ext{o}	ext{C}$. The consistent optimal growth temperature of $37^	ext{o}	ext{C}$ strongly supports a mesophilic classification.",,True,data/accessions/AAC18470/summary/summary.txt,data/accessions/AAC18470/library/accession_lit,1,[],0,data/accessions/AAC18470/library/host_lit,4,"['PMC12657314.1.txt', 'PMC12838053.1.txt']",2,186.12,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 4.24, ""ClassifyHostMetadata"": 2.57, ""FilterRelevantLiterature"": 1.88, ""FilterRelevantHostLiterature"": 105.73, ""ClassifySummary"": 4.37}",False
NP_046847,gemma4:e4b,Mycobacterium phage D29,"{""uid"": ""9630415"", ""accession"": ""NP_046847"", ""title"": ""minor tail protein [Mycobacterium phage D29]"", ""organism"": ""Mycobacterium phage D29"", ""taxonId"": 2905674, ""sequence_length"": 617, ""create_date"": ""1998/06/02"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9630415|ref|NP_046847.1|"", ""old_name"": ""Mycobacteriophage D29"", ""lab_host"": ""Mycobacterium smegmatis mc2 155"", ""country"": ""USA: Los Angeles, California"", ""lat_lon"": ""34.073135 N 118.442406 W"", ""collected_by"": ""S. Froman"", ""identified_by"": ""S. Froman""}",Mycobacterium smegmatis mc2 155,strain,"The metadata contains the key 'lab_host' with the value 'Mycobacterium smegmatis mc2 155', which explicitly states the host organism.",,metadata,True,mesophile,,"Both papers point towards mesophilic adaptation. Paper 1 notes the association with *Mycobacterium* species, which are generally associated with host physiological temperatures ($37^	ext{o}	ext{C}$), leading to the conclusion that the organism points towards ""mesophilic or facultative adaptation to host environments."" Paper 2 explicitly states that the ""general growth conditions utilized were consistent with mesophilic organisms,"" and the optimal growth temperature was $37^	ext{o}	ext{C}$. The consistent optimal growth temperature of $37^	ext{o}	ext{C}$ strongly supports a mesophilic classification.",,True,data/accessions/NP_046847/summary/summary.txt,data/accessions/NP_046847/library/accession_lit,1,[],0,data/accessions/NP_046847/library/host_lit,4,"['PMC12657314.1.txt', 'PMC12838053.1.txt']",2,188.7,end,"[""CreateAccessionLibrary"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""FilterRelevantLiterature"", ""FilterRelevantHostLiterature"", ""SUMMARISELITERATURE"", ""ClassifySummary""]","{""CreateAccessionLibrary"": 6.58, ""ClassifyHostMetadata"": 2.56, ""FilterRelevantLiterature"": 1.87, ""FilterRelevantHostLiterature"": 105.6, ""ClassifySummary"": 4.34}",False
