model,accession,phage,metadata,host,taxonomic_level,host_reasoning,host_confidence,host_source,host_found,thermal_range,temperature,thermal_reasoning,thermal_confidence,thermal_source,thermal_found,inference_type,paper_dir,host_paper_dir,host_paper,thermal_paper,duration,decision,nodes,timings,JSONDecodeError
ibm/granite4.1:8b,ADI87650,Tequatrovirus T4,"{""uid"": ""298571302"", ""accession"": ""ADI87650"", ""title"": ""major head protein, partial [Tequatrovirus T4]"", ""organism"": ""Tequatrovirus T4"", ""taxonId"": 10665, ""sequence_length"": 141, ""create_date"": ""2010/06/23"", ""update_date"": ""2016/07/25"", ""dbsource"": ""insd"", ""extra"": ""gi|298571302|gb|ADI87650.1|"", ""host"": ""Enterobacteriales"", ""old_name"": ""Escherichia virus T4"", ""map"": ""between gp22 and SegD"", ""clone"": ""s10-10"", ""country"": ""China: Donghu Lake, Wuhan""}",,,,,,False,mesophile,,"The metadata provides a sampling location context: 'China: Donghu Lake, Wuhan'. Donghu Lake is a freshwater lake in an urban/suburban environment, which typically supports mesophilic organisms. The host organism, Enterobacteriales, is commonly associated with moderate-temperature environments such as the human gut or soil. Since no explicit temperature data is given, we infer that the thermal preference of Tequatrovirus T4 aligns with a mesophile based on the environmental context.",,metadata,True,inferred,data/accessions/ADI87650/library/accession_lit,,,,9.49,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 9.49}",False
ibm/granite4.1:8b,WXH46553,Teseptimavirus T7,"{""uid"": ""2701066911"", ""accession"": ""WXH46553"", ""title"": ""terminase large subunit [Teseptimavirus T7]"", ""organism"": ""Teseptimavirus T7"", ""taxonId"": 1985738, ""sequence_length"": 586, ""create_date"": ""2024/03/25"", ""update_date"": ""2024/03/25"", ""dbsource"": ""insd"", ""extra"": ""gi|2701066911|gb|WXH46553.1|"", ""host"": ""Escherichia coli B"", ""clone"": ""recombinant T7_mCg1o"", ""country"": ""USA"", ""collection_date"": ""01-Jan-2024""}",,,,,,False,mesophile,,"The metadata provides the host as 'Escherichia coli B' and a collection location in the USA with no specific temperature descriptor. The isolation source is not explicitly stated, but the presence of a bacterial host (E. coli) typically thrives at mesophilic temperatures (~37°C for human-associated strains). Since the environment is implied to be a general laboratory or standard culture setting rather than an extreme thermal habitat (e.g., hot spring or deep sea), we infer a mesophilic thermal range.",,metadata,True,inferred,data/accessions/WXH46553/library/accession_lit,,,,5.4,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 5.4}",False
ibm/granite4.1:8b,WRQ14408,Escherichia phage Lambda,"{""uid"": ""2647417185"", ""accession"": ""WRQ14408"", ""title"": ""endolysin [Escherichia phage Lambda]"", ""organism"": ""Escherichia phage Lambda"", ""taxonId"": 2681611, ""sequence_length"": 158, ""create_date"": ""2024/01/16"", ""update_date"": ""2024/01/16"", ""dbsource"": ""insd"", ""extra"": ""gi|2647417185|gb|WRQ14408.1|"", ""isolate"": ""P9/2022/SA"", ""host"": ""Escherichia sp."", ""country"": ""South Africa"", ""isolation_source"": ""Cloacal swabs from Gallus gallus domesticus"", ""collection_date"": ""06-Dec-2022""}",,,,,,False,mesophile,,"The metadata provides an 'isolation_source' of 'Cloacal swabs from Gallus gallus domesticus', indicating the phage was isolated from a chicken (Gallus gallus domesticus), which is a host-associated environment typical for mesophilic organisms. The collection location ('South Africa') and date do not provide temperature information, but the host-associated nature of the isolation source strongly suggests a mesophilic thermal preference rather than psychrophilic or thermophilic conditions.",,metadata,True,inferred,data/accessions/WRQ14408/library/accession_lit,,,,5.39,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 5.39}",False
ibm/granite4.1:8b,XYW65533,Escherichia phage T2,"{""uid"": ""3042835930"", ""accession"": ""XYW65533"", ""title"": ""DNA helicase [Escherichia phage T2]"", ""organism"": ""Escherichia phage T2"", ""taxonId"": 2060721, ""sequence_length"": 503, ""create_date"": ""2025/08/18"", ""update_date"": ""2025/08/18"", ""dbsource"": ""insd"", ""extra"": ""gi|3042835930|gb|XYW65533.1|"", ""host"": ""Escherichia coli K-12 BW25113"", ""note"": ""ymfE mutant"", ""country"": ""USA"", ""collection_date"": ""Jun-2025""}",,,,,,False,mesophile,,"The metadata provides the following relevant information: 
1. 'host': 'Escherichia coli K-12 BW25113' indicates a well-studied laboratory strain of *E. coli* typically cultured at mesophilic temperatures (around 37°C). 
2. 'country': 'USA' and 'collection_date': 'Jun-2025' suggest a temperate geographic location without extreme environmental conditions. 
3. No explicit temperature or growth condition is stated, but the host organism's known optimal growth range (mesophilic) combined with the lack of any indication of extreme environments (e.g., hot springs, deep sea) leads to an inference that the bacteriophage likely shares a mesophilic thermal preference. 
Thus, based on the implied environment and host characteristics, the thermal range is inferred as mesophile.",,metadata,True,inferred,data/accessions/XYW65533/library/accession_lit,,,,7.68,end,"[""ClassifyThermalMetadata""]","{""ClassifyThermalMetadata"": 7.68}",False
ibm/granite4.1:8b,SNQ28030,Emesvirus zinderi,"{""uid"": ""1229202884"", ""accession"": ""SNQ28030"", ""title"": ""RNA replicase, beta subunit [Emesvirus zinderi]"", ""organism"": ""Emesvirus zinderi"", ""taxonId"": 329852, ""sequence_length"": 545, ""create_date"": ""2017/08/08"", ""update_date"": ""2018/06/15"", ""dbsource"": ""insd"", ""extra"": ""gi|1229202884|emb|SNQ28030.1|"", ""isolate"": ""EnteroPH/GER/L00928-K20_14-03/2014"", ""old_name"": ""Escherichia virus MS2"", ""note"": ""monopartite""}",,,,,,False,mesophile,"25–36 °C (optimal growth temperatures for the host bacteria, within mesophilic range)","The paper explicitly states that the bacteriophage Phi6 (Emesvirus zinderi) was propagated and tested at incubation temperatures of 25 °C ± 2 °C for P. syringae and 36 °C ± 2 °C for E. coli hosts, which falls within the mesophilic range (15–45 °C). The survival tests on surfaces and in liquid were conducted at 25 °C, 37 °C, and 50 °C, with Phi6 showing reduced stability at higher temperatures (e.g., complete inactivation within one day at 50 °C), consistent with mesophilic behavior. No temperature range lower than 15 °C or higher than 45 °C was reported for this phage.",high,literature,True,explicit,data/accessions/SNQ28030/library/accession_lit,,,PMC13030880.1.txt,121.18,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 5.9, ""CreateAccessionLibrary"": 56.47, ""ClassifyThermalLiterature"": 58.81}",False
ibm/granite4.1:8b,NP_049775,Escherichia phage T4,"{""uid"": ""9632590"", ""accession"": ""NP_049775"", ""title"": ""terminase small subunit [Escherichia phage T4]"", ""organism"": ""Escherichia phage T4"", ""taxonId"": 2681598, ""sequence_length"": 164, ""create_date"": ""1999/07/05"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9632590|ref|NP_049775.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Bacteriophage T4""}",Escherichia coli,species,"The metadata contains a key 'host' with the value 'Escherichia coli', which explicitly states the host organism at the species level. No other host information is needed for decision-making.",,metadata,True,mesophile,29 to 45 °C,"The paper states that the drug delivery system exhibits photothermal activity, raising the temperature from 29°C to 45°C within 10 minutes under specific irradiation conditions. This implies that the host organism, Escherichia coli, is active and growing at temperatures around this range. Since mesophiles typically grow optimally between 15–45°C, the described temperature elevation aligns with mesophilic behavior.",medium,host_literature,True,explicit,data/accessions/NP_049775/library/accession_lit,data/accessions/NP_049775/library/host_lit,,42084958.txt,79.10999999999999,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 5.39, ""CreateAccessionLibrary"": 14.69, ""ClassifyThermalLiterature"": 11.45, ""ClassifyHostMetadata"": 3.58, ""ClassifyThermalRangeHostLiterature"": 11.6}",False
ibm/granite4.1:8b,NP_049787,Escherichia phage T4,"{""uid"": ""9632597"", ""accession"": ""NP_049787"", ""title"": ""major head protein [Escherichia phage T4]"", ""organism"": ""Escherichia phage T4"", ""taxonId"": 2681598, ""sequence_length"": 521, ""create_date"": ""1999/07/05"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9632597|ref|NP_049787.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Bacteriophage T4""}",Escherichia coli,species,"The metadata contains a key 'host' with the value 'Escherichia coli', which provides an explicit, fully specified host organism at the species level. No other host information is needed for decision-making.",,metadata,True,mesophile,29 to 45 °C,"The paper states that the drug delivery system exhibits photothermal activity, raising the temperature from 29°C to 45°C within 10 minutes under specific irradiation conditions. This implies that the host organism, Escherichia coli, is active and growing at temperatures around this range. Since mesophiles typically grow optimally between 15–45°C, the described temperature elevation aligns with mesophilic behavior.",medium,host_literature,True,explicit,data/accessions/NP_049787/library/accession_lit,data/accessions/NP_049787/library/host_lit,,42084958.txt,64.44,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 4.39, ""CreateAccessionLibrary"": 7.93, ""ClassifyThermalLiterature"": 4.95, ""ClassifyHostMetadata"": 3.72, ""ClassifyThermalRangeHostLiterature"": 11.56}",False
ibm/granite4.1:8b,YP_001956829,Pseudomonas phage 201phi2-1,"{""uid"": ""189490263"", ""accession"": ""YP_001956829"", ""title"": ""nuclear shell protein [Pseudomonas phage 201phi2-1]"", ""organism"": ""Pseudomonas phage 201phi2-1"", ""taxonId"": 198110, ""sequence_length"": 631, ""create_date"": ""2008/06/06"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|189490263|ref|YP_001956829.1|"", ""host"": ""Pseudomonas chlororaphis"", ""old_name"": ""Pseudomonas chlororaphis phage 201phi2-1""}",Pseudomonas chlororaphis,species,"The metadata contains a key-value pair 'host': 'Pseudomonas chlororaphis', which directly states the host organism. This is an explicit mention of the host species, satisfying the requirement to extract it verbatim.",,metadata,True,mesophile,28 °C,"The paper explicitly states that the optimal temperature for both collagenases ColP1 and ColP2 is 28 °C, which falls within the mesophilic range (15–45 °C). This information is found in Figure 6a and d of the article, where enzyme activity was measured across a temperature gradient from 16 °C to 60 °C. The highest activity for both enzymes occurred at 28 °C, confirming this as their optimal growth/thermal condition.",high,host_literature,True,explicit,data/accessions/YP_001956829/library/accession_lit,data/accessions/YP_001956829/library/host_lit,,PMC12896945.1.txt,145.07,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 5.67, ""CreateAccessionLibrary"": 8.68, ""ClassifyThermalLiterature"": 6.3, ""ClassifyHostMetadata"": 3.99, ""ClassifyThermalRangeHostLiterature"": 65.54}",False
ibm/granite4.1:8b,AAC18470,Mycobacterium phage D29,"{""uid"": ""3172277"", ""accession"": ""AAC18470"", ""title"": ""hypothetical protein PBI_D29_29 [Mycobacterium phage D29]"", ""organism"": ""Mycobacterium phage D29"", ""taxonId"": 2905674, ""sequence_length"": 147, ""create_date"": ""1998/06/02"", ""update_date"": ""2023/08/29"", ""dbsource"": ""insd"", ""extra"": ""gi|3172277|gb|AAC18470.1|"", ""old_name"": ""Mycobacteriophage D29"", ""lab_host"": ""Mycobacterium smegmatis mc2 155"", ""country"": ""USA: Los Angeles, California"", ""lat_lon"": ""34.073135 N 118.442406 W"", ""collected_by"": ""S. Froman"", ""identified_by"": ""S. Froman""}",Mycobacterium smegmatis mc2 155,strain,"The metadata contains a key 'lab_host' with the value 'Mycobacterium smegmatis mc2 155', which explicitly states the host organism. This is a strain-level designation of the Mycobacterium species.",,metadata,True,thermophile,"> 50°C (optimal growth), up to 65°C","The paper explicitly states that Mycolicibacterium hassiacum, the thermophilic host organism for Mycobacterium phage D29, grows optimally above 50°C and has significant growth capability up to 65°C. This directly classifies it as a thermophile.",high,host_literature,True,explicit,data/accessions/AAC18470/library/accession_lit,data/accessions/AAC18470/library/host_lit,,PMC10832570.1.txt,164.94,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 8.34, ""CreateAccessionLibrary"": 4.0, ""ClassifyThermalLiterature"": 5.0, ""ClassifyHostMetadata"": 4.35, ""ClassifyThermalRangeHostLiterature"": 79.96}",False
ibm/granite4.1:8b,NP_046847,Mycobacterium phage D29,"{""uid"": ""9630415"", ""accession"": ""NP_046847"", ""title"": ""minor tail protein [Mycobacterium phage D29]"", ""organism"": ""Mycobacterium phage D29"", ""taxonId"": 2905674, ""sequence_length"": 617, ""create_date"": ""1998/06/02"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9630415|ref|NP_046847.1|"", ""old_name"": ""Mycobacteriophage D29"", ""lab_host"": ""Mycobacterium smegmatis mc2 155"", ""country"": ""USA: Los Angeles, California"", ""lat_lon"": ""34.073135 N 118.442406 W"", ""collected_by"": ""S. Froman"", ""identified_by"": ""S. Froman""}",Mycobacterium smegmatis mc2 155,strain,"The metadata contains a key 'lab_host' with the value 'Mycobacterium smegmatis mc2 155', which explicitly states the host organism. This is a strain-level designation of the species Mycobacterium smegmatis.",,metadata,True,thermophile,"> 50°C (optimal growth), up to 65°C","The paper explicitly states that Mycolicibacterium hassiacum, the thermophilic host organism for Mycobacterium phage D29, grows optimally above 50°C and has significant growth capability up to 65°C. This directly classifies it as a thermophile.",high,host_literature,True,explicit,data/accessions/NP_046847/library/accession_lit,data/accessions/NP_046847/library/host_lit,,PMC10832570.1.txt,164.47000000000003,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 8.55, ""CreateAccessionLibrary"": 5.12, ""ClassifyThermalLiterature"": 5.02, ""ClassifyHostMetadata"": 4.45, ""ClassifyThermalRangeHostLiterature"": 80.48}",False
