model,accession,phage,metadata,host,taxonomic_level,host_reasoning,host_confidence,host_source,host_found,thermal_range,temperature,thermal_reasoning,thermal_confidence,thermal_source,thermal_found,inference_type,paper_dir,host_paper_dir,host_paper,thermal_paper,duration,decision,nodes,timings,JSONDecodeError
gemma4:e4b,ADI87650,Tequatrovirus T4,"{""uid"": ""298571302"", ""accession"": ""ADI87650"", ""title"": ""major head protein, partial [Tequatrovirus T4]"", ""organism"": ""Tequatrovirus T4"", ""taxonId"": 10665, ""sequence_length"": 141, ""create_date"": ""2010/06/23"", ""update_date"": ""2016/07/25"", ""dbsource"": ""insd"", ""extra"": ""gi|298571302|gb|ADI87650.1|"", ""host"": ""Enterobacteriales"", ""old_name"": ""Escherichia virus T4"", ""map"": ""between gp22 and SegD"", ""clone"": ""s10-10"", ""country"": ""China: Donghu Lake, Wuhan""}",,,,,,False,mesophile,,"The text explicitly states the stability of phage P19: ""It remained highly stable across pH 6–10 and temperatures up to 60°C."" Furthermore, in the section '3.6 pH And Thermal Stability', it is noted that ""For temperature stability, phage P19 retained viability at temperatures ranging from 30°C to 60°C, showing minimal reduction in phage titre even after 1 h of incubation (Figure 3B).""",,literature,True,explicit,data/accessions/ADI87650/library/accession_lit,,,PMC12771599.1.txt,111.57,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 5.48, ""CreateAccessionLibrary"": 56.04, ""ClassifyThermalLiterature"": 50.05}",False
gemma4:e4b,WXH46553,Teseptimavirus T7,"{""uid"": ""2701066911"", ""accession"": ""WXH46553"", ""title"": ""terminase large subunit [Teseptimavirus T7]"", ""organism"": ""Teseptimavirus T7"", ""taxonId"": 1985738, ""sequence_length"": 586, ""create_date"": ""2024/03/25"", ""update_date"": ""2024/03/25"", ""dbsource"": ""insd"", ""extra"": ""gi|2701066911|gb|WXH46553.1|"", ""host"": ""Escherichia coli B"", ""clone"": ""recombinant T7_mCg1o"", ""country"": ""USA"", ""collection_date"": ""01-Jan-2024""}",Escherichia coli B,species,The host is listed as 'Escherichia coli B'.,,metadata,True,mesophile,,"The text explicitly states the controlled environmental conditions for the mice during the study period: ""Animals were housed in standard plastic cages for the 28-day study period under controlled environmental conditions, which included a 12-h light/dark cycle, a temperature maintained between 33 and 35 °C, and relative humidity of 53–57%."" Since the mesophile range is defined as 15–45°C, the stated temperature of 33–35°C falls within this range.",,host_literature,True,explicit,data/accessions/WXH46553/library/accession_lit,data/accessions/WXH46553/library/host_lit,,PMC13120422.1.txt,150.85,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 2.3, ""CreateAccessionLibrary"": 10.18, ""ClassifyThermalLiterature"": 39.47, ""ClassifyHostMetadata"": 2.3, ""ClassifyThermalRangeHostLiterature"": 52.31}",False
gemma4:e4b,WRQ14408,Escherichia phage Lambda,"{""uid"": ""2647417185"", ""accession"": ""WRQ14408"", ""title"": ""endolysin [Escherichia phage Lambda]"", ""organism"": ""Escherichia phage Lambda"", ""taxonId"": 2681611, ""sequence_length"": 158, ""create_date"": ""2024/01/16"", ""update_date"": ""2024/01/16"", ""dbsource"": ""insd"", ""extra"": ""gi|2647417185|gb|WRQ14408.1|"", ""isolate"": ""P9/2022/SA"", ""host"": ""Escherichia sp."", ""country"": ""South Africa"", ""isolation_source"": ""Cloacal swabs from Gallus gallus domesticus"", ""collection_date"": ""06-Dec-2022""}",,,,,,False,mesophile,,"The text mentions several incubation temperatures for various assays. For general growth and recovery, the following temperatures are explicitly stated: 
1. ""All strains generated and used in this study were cultured in LB Broth..."" (No temperature given for initial culture, but later sections specify).
2. ""For agar plate-based assays, all strains were grown on Rich media agar plates...""
3. ""...cultures were grown at 37°C or 30°C (for temperature-sensitive strains)...""
4. ""...the cell suspensions were incubated at 37°C or 30°C (for temperature-sensitive strains) while shaking at 220 rpm for 1 h to recover and subsequently spread onto agar plates. Plates were incubated at 37°C or 30°C overnight... or 25°C over the weekend...""
5. ""...cultures were grown in a shaking incubator at 30°C to an OD600 of 0.5–1.0.""
6. ""...and incubated at 42°C to induce old and gam expression.""
7. ""...incubated overnight at 37°C.""
8. ""...incubated at 37°C for 60 min and 60°C for 3 min.""
9. ""...incubated at 37°C overnight.""
10. ""...incubated at 37°C for 1 h in a thermocycler with a lid temperature of 55°C.""
11. ""...incubated at 45°C for 30 min before FAM-, IRDye 700-, or IRDye 800-labeled probes... were added at 10 nM final concentration for overnight incubation at 45°C.""
12. ""...incubated at 37°C for 2 h.""
13. ""...incubated at 37°C for 1 h.""
14. ""...incubated at 37°C for 2 h.""
15. ""...incubated at 37°C for 1 h.""
16. ""...incubated at 37°C for 1 h.""

Since the host bacterium *E. coli* is cultured and manipulated across a range of temperatures including 30°C, 37°C, and 42°C, and the phage interaction is studied under these conditions, the general optimal growth range for the system is mesophilic (15–45°C). The most frequently cited and relevant physiological temperatures are 30°C and 37°C, which fall within the mesophilic range. The text does not specify a single optimal temperature for the phage itself, but the host system operates within the mesophilic range.",,literature,True,explicit,data/accessions/WRQ14408/library/accession_lit,,,PMC12445682.1.txt,131.27999999999997,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 2.6, ""CreateAccessionLibrary"": 67.63, ""ClassifyThermalLiterature"": 61.05}",False
gemma4:e4b,XYW65533,Escherichia phage T2,"{""uid"": ""3042835930"", ""accession"": ""XYW65533"", ""title"": ""DNA helicase [Escherichia phage T2]"", ""organism"": ""Escherichia phage T2"", ""taxonId"": 2060721, ""sequence_length"": 503, ""create_date"": ""2025/08/18"", ""update_date"": ""2025/08/18"", ""dbsource"": ""insd"", ""extra"": ""gi|3042835930|gb|XYW65533.1|"", ""host"": ""Escherichia coli K-12 BW25113"", ""note"": ""ymfE mutant"", ""country"": ""USA"", ""collection_date"": ""Jun-2025""}",,,,,,False,mesophile,,"The text explicitly states the stability of phage P19: ""It remained highly stable across pH 6–10 and temperatures up to 60°C."" Furthermore, in the section '3.6 pH And Thermal Stability', it is noted that ""For temperature stability, phage P19 retained viability at temperatures ranging from 30°C to 60°C, showing minimal reduction in phage titre even after 1 h of incubation (Figure 3B).""",,literature,True,explicit,data/accessions/XYW65533/library/accession_lit,,,PMC12771599.1.txt,182.07,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 2.75, ""CreateAccessionLibrary"": 69.61, ""ClassifyThermalLiterature"": 109.71}",False
gemma4:e4b,SNQ28030,Emesvirus zinderi,"{""uid"": ""1229202884"", ""accession"": ""SNQ28030"", ""title"": ""RNA replicase, beta subunit [Emesvirus zinderi]"", ""organism"": ""Emesvirus zinderi"", ""taxonId"": 329852, ""sequence_length"": 545, ""create_date"": ""2017/08/08"", ""update_date"": ""2018/06/15"", ""dbsource"": ""insd"", ""extra"": ""gi|1229202884|emb|SNQ28030.1|"", ""isolate"": ""EnteroPH/GER/L00928-K20_14-03/2014"", ""old_name"": ""Escherichia virus MS2"", ""note"": ""monopartite""}",,,,,,False,None,,"The paper describes the growth and replication of the MS2 bacteriophage in E. coli. The methods section states that the bacteria were maintained in NZCYM media and incubated at 37 °C overnight. Furthermore, plaque assays and infection experiments were performed at 37 °C. Since the phage is studied in the context of its host growing at 37 °C, this temperature is the relevant biological condition, but the paper does not explicitly state the optimal growth temperature for the phage itself, only the host's incubation temperature.",,literature,True,none,data/accessions/SNQ28030/library/accession_lit,,,PMC13077995.1.txt,320.74,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature""]","{""ClassifyThermalMetadata"": 2.14, ""CreateAccessionLibrary"": 65.51, ""ClassifyThermalLiterature"": 253.09}",False
gemma4:e4b,NP_049775,Escherichia phage T4,"{""uid"": ""9632590"", ""accession"": ""NP_049775"", ""title"": ""terminase small subunit [Escherichia phage T4]"", ""organism"": ""Escherichia phage T4"", ""taxonId"": 2681598, ""sequence_length"": 164, ""create_date"": ""1999/07/05"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9632590|ref|NP_049775.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Bacteriophage T4""}",Escherichia coli,species,"The host is Escherichia coli, which is typically associated with mesophilic environments (e.g., gut, freshwater).",,metadata,True,mesophile,,"The text mentions several conditions for culturing and experiments: 1. ""For routine cultivation, bacteria were grown overnight in Luria–Bertani (LB) broth, diluted 1:100 into Minimum Essential Medium (MEM; Sigma), and cultured at 37 °C under aerobic (200 rpm shaking), microaerobic (static culture in 5% CO2), or anaerobic conditions in a glove box as indicated."" This explicitly states a culture temperature of 37 °C. 2. ""HeLa and Caco-2 cells were maintained in Dulbecco’s Modified Eagle Medium (DMEM) supplemented with 10% fetal bovine serum (FBS) at 37 °C in a humidified incubator with 5% CO2."" This also explicitly states 37 °C. Since 37 °C falls within the defined mesophile range (15–45°C), the organism is classified as mesophile.",,host_literature,True,explicit,data/accessions/NP_049775/library/accession_lit,data/accessions/NP_049775/library/host_lit,,PMC13138055.1.txt,146.73,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 2.49, ""CreateAccessionLibrary"": 13.85, ""ClassifyThermalLiterature"": 5.6, ""ClassifyHostMetadata"": 2.39, ""ClassifyThermalRangeHostLiterature"": 84.11}",False
gemma4:e4b,NP_049787,Escherichia phage T4,"{""uid"": ""9632597"", ""accession"": ""NP_049787"", ""title"": ""major head protein [Escherichia phage T4]"", ""organism"": ""Escherichia phage T4"", ""taxonId"": 2681598, ""sequence_length"": 521, ""create_date"": ""1999/07/05"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9632597|ref|NP_049787.1|"", ""host"": ""Escherichia coli"", ""old_name"": ""Bacteriophage T4""}",Escherichia coli,species,"The host is Escherichia coli, which is generally associated with mesophilic environments (e.g., gut, freshwater).",,metadata,True,mesophile,,"The text mentions several conditions for culturing and experiments: 1. ""For routine cultivation, bacteria were grown overnight in Luria–Bertani (LB) broth, diluted 1:100 into Minimum Essential Medium (MEM; Sigma), and cultured at 37 °C under aerobic (200 rpm shaking), microaerobic (static culture in 5% CO2), or anaerobic conditions in a glove box as indicated."" This explicitly states a culture temperature of 37 °C. 2. ""HeLa and Caco-2 cells were maintained in Dulbecco’s Modified Eagle Medium (DMEM) supplemented with 10% fetal bovine serum (FBS) at 37 °C in a humidified incubator with 5% CO2."" This also explicitly states 37 °C. Since 37 °C falls within the defined mesophile range (15–45°C), the organism is classified as mesophile.",,host_literature,True,explicit,data/accessions/NP_049787/library/accession_lit,data/accessions/NP_049787/library/host_lit,,PMC13138055.1.txt,139.95,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 2.5, ""CreateAccessionLibrary"": 8.4, ""ClassifyThermalLiterature"": 2.61, ""ClassifyHostMetadata"": 2.42, ""ClassifyThermalRangeHostLiterature"": 83.9}",False
gemma4:e4b,YP_001956829,Pseudomonas phage 201phi2-1,"{""uid"": ""189490263"", ""accession"": ""YP_001956829"", ""title"": ""nuclear shell protein [Pseudomonas phage 201phi2-1]"", ""organism"": ""Pseudomonas phage 201phi2-1"", ""taxonId"": 198110, ""sequence_length"": 631, ""create_date"": ""2008/06/06"", ""update_date"": ""2023/01/08"", ""dbsource"": ""refseq"", ""extra"": ""gi|189490263|ref|YP_001956829.1|"", ""host"": ""Pseudomonas chlororaphis"", ""old_name"": ""Pseudomonas chlororaphis phage 201phi2-1""}",Pseudomonas chlororaphis,species,The host is Pseudomonas chlororaphis. No thermal information is provided for this organism or the phage.,,metadata,True,mesophile,,"The optimal temperature for both collagenases (ColP1 and ColP2) was explicitly stated as 28 °C in the section '3.4. Effect of pH, Temperature, and Metal Ions on the Activity of Collagenases'. The definition for mesophile is 15–45°C, and 28°C falls within this range. Additionally, the text mentions that the optimal growth temperature of P. chlororaphis is consistent with the observed optimal temperature: ""The enzyme activity increased with increasing temperature when the reaction temperature was lower than 28 °C, consistent with the optimal growth temperature of P. chlororaphis."" The culture conditions for Pseudomonas strains were also stated as 28 °C: ""The Pseudomonas strains were cultured in KB medium or GDM medium at 28 °C, and shaken at 200 rpm.""",,host_literature,True,explicit,data/accessions/YP_001956829/library/accession_lit,data/accessions/YP_001956829/library/host_lit,,PMC12896945.1.txt,112.25999999999999,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 2.54, ""CreateAccessionLibrary"": 10.2, ""ClassifyThermalLiterature"": 2.93, ""ClassifyHostMetadata"": 2.47, ""ClassifyThermalRangeHostLiterature"": 32.55}",False
gemma4:e4b,AAC18470,Mycobacterium phage D29,"{""uid"": ""3172277"", ""accession"": ""AAC18470"", ""title"": ""hypothetical protein PBI_D29_29 [Mycobacterium phage D29]"", ""organism"": ""Mycobacterium phage D29"", ""taxonId"": 2905674, ""sequence_length"": 147, ""create_date"": ""1998/06/02"", ""update_date"": ""2023/08/29"", ""dbsource"": ""insd"", ""extra"": ""gi|3172277|gb|AAC18470.1|"", ""old_name"": ""Mycobacteriophage D29"", ""lab_host"": ""Mycobacterium smegmatis mc2 155"", ""country"": ""USA: Los Angeles, California"", ""lat_lon"": ""34.073135 N 118.442406 W"", ""collected_by"": ""S. Froman"", ""identified_by"": ""S. Froman""}",Mycobacterium smegmatis mc2 155,phage,The metadata lists 'lab_host': 'Mycobacterium smegmatis mc2 155'. No temperature information is provided for this host or the phage.,,metadata,True,mesophile,,"The text explicitly states the growth conditions for the host organism, Mycobacterium smegmatis mc2 155. In the 'Materials and methods' section, it is mentioned: 'The host cells were grown on Luria Bertani (LB) Agar (2% w/v) plates supplemented with 0.4% (v/v) glycerol and 0.1% (v/v) Tween 80 (LBGT media) at 37°C for 48 h at 150 rotations per minute (rpm) in a rotary shaker (Sun et al., 2018). For primary liquid culture, cells were grown in LBGT media at 37°C in a rotary shaker.' Furthermore, subsequent steps involving the host culture and phage incubation are consistently performed at 37°C. Since 37°C falls within the mesophile range (15–45°C), the host is classified as mesophile.",,host_literature,True,explicit,data/accessions/AAC18470/library/accession_lit,data/accessions/AAC18470/library/host_lit,,PMC10400892.1.txt,152.55,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""CreateHostLibrary"", ""ClassifyThermalRangeHostLiterature""]","{""ClassifyThermalMetadata"": 2.76, ""CreateAccessionLibrary"": 5.59, ""ClassifyThermalLiterature"": 2.42, ""ClassifyHostMetadata"": 2.88, ""ClassifyThermalRangeHostLiterature"": 75.12}",False
gemma4:e4b,NP_046847,Mycobacterium phage D29,"{""uid"": ""9630415"", ""accession"": ""NP_046847"", ""title"": ""minor tail protein [Mycobacterium phage D29]"", ""organism"": ""Mycobacterium phage D29"", ""taxonId"": 2905674, ""sequence_length"": 617, ""create_date"": ""1998/06/02"", ""update_date"": ""2023/01/11"", ""dbsource"": ""refseq"", ""extra"": ""gi|9630415|ref|NP_046847.1|"", ""old_name"": ""Mycobacteriophage D29"", ""lab_host"": ""Mycobacterium smegmatis mc2 155"", ""country"": ""USA: Los Angeles, California"", ""lat_lon"": ""34.073135 N 118.442406 W"", ""collected_by"": ""S. Froman"", ""identified_by"": ""S. Froman""}",,,,,,False,mesophile,,forced,,metadata,True,forced,data/accessions/NP_046847/library/accession_lit,,,,21.330000000000002,end,"[""ClassifyThermalMetadata"", ""CreateAccessionLibrary"", ""ClassifyThermalLiterature"", ""ClassifyHostMetadata"", ""ClassifyHostLiterature"", ""ClassifyThermalForced""]","{""ClassifyThermalMetadata"": 2.89, ""CreateAccessionLibrary"": 6.21, ""ClassifyThermalLiterature"": 2.45, ""ClassifyHostMetadata"": 2.81, ""ClassifyHostLiterature"": 2.41, ""ClassifyThermalForced"": 4.56}",False
