,accession,host,taxonomic_level,reasoning,source,duration(m)
0,ADI87650,Acinetobacter baumannii,unknown,The paper explicitly states that the phage vB_AbaM_MU1 was isolated and characterized against 'Acinetobacter baumannii' strains. Specifically the text mentions: 'A novel lytic Acinetobacter phage vB_AbaM_MU1 was isolated... It showed lytic efficiency against 9/17 CRAB strains.' The 'Materials and methods' section further clarifies: 'Eighteen CRAB clinical isolates were obtained... Acinetobacter baumannii M13 isolate... was selected as the host strain'. The abbreviation 'CRAB' is defined in the text as 'Carbapenem-resistant Acinetobacter baumannii'. The host range analysis was conducted against 'A. baumannii' strains and other genera confirming the specific host is Acinetobacter baumannii.,literature,2.056309148470561
1,WXH46553,Escherichia coli B,strain,The metadata field 'host' explicitly contains the value 'Escherichia coli B'. This value includes the genus 'Escherichia' the species 'coli' and the strain designation 'B'. According to the taxon_level rules when an isolate/strain designation is given (e.g. 'E. coli K12' or 'strain MG1655') the level is classified as 'strain'. Since the full binomial name plus a specific strain identifier is present the level is 'strain' not just 'species'.,metadata,0.13
2,WRQ14408,Escherichia sp.,genus,The metadata explicitly contains the key 'host' with the value 'Escherichia sp.'. According to the rules I must copy this value exactly. The value 'Escherichia sp.' indicates the genus level (specifically 'sp.' denotes an unspecified species within the genus) so the taxon_level is 'genus'. I do not infer 'Escherichia coli' from the title or isolate name nor do I upgrade the specificity beyond what is written.,metadata,0.12
3,XYW65533,Escherichia coli K-12 BW25113,strain,The metadata field 'host' explicitly contains the value 'Escherichia coli K-12 BW25113'. This value includes the genus species and a specific strain designation (K-12 BW25113). According to the rules since a strain designation is present the taxon_level is 'strain'. The value is copied exactly as written.,metadata,0.11
4,SNQ28030,Escherichia coli,unknown,The paper text explicitly states in the Background section: 'The RNA bacteriophage MS2 is an RNA phage that infects the bacterium E. coli'. Additionally the Methods section specifies: 'The bacteria host E. coli DSM 5695 (also called E. coli W1485) (F+)'. The Results section further confirms: 'MS2 bacteriophage replicated within half an hour in E. coli' and 'Growth curves of bacterial cells (DSM5695 E. coli) infected with MS2 RNA phage'. The target species 'Emesvirus zinderi' is the genus/species classification for MS2 (MS2 belongs to the family Fiersviridae which is now often associated with Emesvirus) and the paper consistently identifies the host as Escherichia coli.,literature,1.5843846980730691
5,A7XXB7,Thermus thermophilus,species,The metadata explicitly contains a 'host' key with the value 'Thermus thermophilus'. This is a full binomial name (Genus + species). According to the rules since the full binomial name is explicitly written the taxon level is 'species'. The value is copied exactly as written.,metadata,0.09
6,QAY18187,Thermus sp. TC4,strain,The metadata explicitly contains a 'host' field with the value 'Thermus sp. TC4'. This value includes a genus ('Thermus') a species indicator ('sp.') and a specific isolate designation ('TC4'). According to the taxon_level rules the presence of an isolate/strain designation classifies this as 'strain'. The value is copied exactly as written from the metadata.,metadata,0.1
7,YP_001285867,Geobacillus,genus,The metadata explicitly contains a 'host' field with the value 'Geobacillus'. This value is a genus name (e.g. 'Geobacillus' without a specific species epithet). According to the taxon_level rules when only the genus is given the level is 'genus'. The value is copied exactly as written.,metadata,0.1
8,NP_835731,Rhodothermus marinus,species,The metadata explicitly contains a key 'host' with the value 'Rhodothermus marinus'. This value is a full binomial name (Genus + species). According to the taxon_level rules a full binomial name corresponds to 'species'. The value is copied exactly as written without inference.,metadata,0.1
9,YP_874174,Thermus thermophilus,unknown,The paper text explicitly states: 'A Thermus thermophilus lytic phage was isolated...' and later refers to 'adsorption to the Thermus host cell'. The title also identifies the subject as a 'Thermus thermophilus phage'. The text contrasts this new phage (φMN1) with φYS40 noting that φYS40 is 'type IV pili-dependent' implying φYS40 is the target species mentioned in the prompt. Since the text explicitly links the isolation and host specificity to 'Thermus thermophilus' this is the definitive host.,literature,0.29924578428268434
10,XJP07760,Pseudoalteromonas sp. YM19,strain,The metadata explicitly contains a 'host' field with the value 'Pseudoalteromonas sp. YM19'. This value includes a genus ('Pseudoalteromonas') a species placeholder ('sp.') and a specific isolate designation ('YM19'). According to the taxon_level rules when an isolate/strain designation is given the level is classified as 'strain'. The value is copied exactly as written without inference.,metadata,0.11
11,WMT83805,Pseudoalteromonas elyakovii HL-AS1,strain,The metadata explicitly contains a 'host' field with the value 'Pseudoalteromonas elyakovii HL-AS1'. This value includes the full binomial name (Pseudoalteromonas elyakovii) followed by a specific isolate designation (HL-AS1). According to the taxon_level rules when an isolate/strain designation is given alongside the species name the level is classified as 'strain'. The value is copied exactly as written from the metadata.,metadata,0.12
12,YP_009790355,Shewanella putrefaciens,species,The metadata field 'lab_host' explicitly contains the value 'Shewanella putrefaciens'. This is a full binomial name (Genus + species). According to the rules since the species is explicitly written the taxon level is 'species'. The value is copied exactly as written without inference.,metadata,0.09
13,YP_006489335,Colwellia psychrerythaea strain 34H,strain,The metadata field 'lab_host' explicitly contains the value 'Colwellia psychrerythaea strain 34H'. This value includes the full binomial name ('Colwellia psychrerythaea') and a specific isolate designation ('strain 34H'). According to the taxon_level rules since a strain designation is explicitly given the level is 'strain'. The value is copied exactly as written from the metadata.,metadata,0.12
14,YP_009209738,Polaribacter sp. strain IMCC12002,unknown,The paper explicitly states in the Abstract: '...two lytic siphophages P12002L and P12002S that infect Polaribacter sp. strain IMCC12002.' This is reiterated in the Introduction: '...infect strain IMCC12002 a marine bacterium phylogenetically assigned to the genus Polaribacter.' Furthermore Table 1 under MIGS-15 'Biotic relationship' lists the term 'Intracellular parasite of Polaribacter strain IMCC12002' with evidence code IDA (Inferred from Direct Assay). The Conclusion also confirms: 'P12002L and P12002S... infect Polaribacter sp. strain IMCC12002'.,literature,0.8134694997469585
